entubada",% Viviendas SIN sanitario ni drenaje,% Viviendas SIN Energia electrica,% Viviendas con menor disponibilidad de internet,% Viviendas con menor disponibilidad de computadora,Bando de Policía y Gobierno,"Personal municipal total por cada 1,000 habitantes",Participación de las mujeres en puestos de mando medio y superior en la administración pública municipal,Tasa de observaciones documentadas en las auditorías internas,Tasa de crecimiento real anual de la recaudación del impuesto predial,Tasa de crecimiento de asentamientos humanos en zonas de riesgo.,"Situación de limpia, recolección, traslado, tratamiento y disposición final de residuos",Situación de Mercados (centrales de abasto) y panteones,Tasa de abatimiento de calles sin revestimiento(revisión anual),Tasa de abatimiento de la carencia de servicio de agua entubada en las viviendas,Acciones del municipio para disminuir la vulnerabilidad ante el cambio climático
13036,San Agustrn Metzquititlán,,,,-5.6,,,,,,,10.0,,,,0.3,-31.749.391,0,,0.7,,,,0,,,0.0,41.7,,,,,1,,,,,,4.4,,En rezago,,En rezago,,En rezago,,,En rezago,,En rezago
13037,Metztitlán,,,-0.91,,,,,,9.6,,,8.5,,,0.4,-4.770.537,,,0.9,,,,0,"-2,753",,0.0,,,,,,15,,,,,,5.6,,En rezago,,,En rezago,En rezago,,,En rezago,,
13038,Mineral del Chico,,,-0.07,,,,,,,,,,,5.7,0.2,,0,,,,,,0,,,0.0,188.0,16.0,,,,,,,,,,,,En rezago,En rezago,,,En rezago,En rezago,,En rezago,,En rezago
13039,Mineral del Monte,,,,-3.9,,,,,5.7,,,11.0,,12.5,0.6,-1.396.258,,,0.8,,-14.9,,0,,,0.0,80.7,9.5,2,,,,,,,,,,,En rezago,En rezago,En rezago,En rezago,En rezago,,,En rezago,En rezago,En rezago
13040,La Misión,,,,,,,Alto,,,,,,,,0.6,-40.737.346,0,,0.9,,,,0,,-2.1,0.0,,,,,,,,,,,9.34,5.4,,En rezago,En rezago,En rezago,,En rezago,,,,,En rezago
13041,Mixquiahuala de Juárez,,,-0.25,,,,,,,,,,,,,,-948,,,,,,0,-15004,,0.0,,,,,,,,,,,,,En rezago,En rezago,En rezago,,,En rezago,En rezago,En rezago,En rezago,,En rezago
13042,Molango de Escamilla,,,,-4.8,,,,,,,,,,,,-43.185.352,-1520,,,,,,0,-1000,,-0.1,,,,,,,,,,,,,,En rezago,En rezago,,,En rezago,En rezago,En rezago,,,
13043,Nicolás Flores,,,,,,,,,,,,,,,0.8,-63.846.768,0,,,,,,0,-1900,,0.0,,,,,,,,,,,,,,En rezago,En rezago,En rezago,En rezago,,En rezago,,En rezago,En rezago,
13044,Nopala de Villagrán,,,,,,,,,,,,,,,0.8,-29.502.006,-737,22.26,,,,,,,-4.7,0.0,,,,,,,,,,,,5.8,,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago
13045,Omitlán de Juárez,,,,,,,,,,,,,,18.5,0.3,,0,,0.6,,,,0,,,0.0,209.8,9.3,1,,,,,,,,,,,En rezago,,En rezago,En rezago,En rezago,,,,,
13046,San Felipe Orizatlán,,,,,,,,,,,5.5,,,,0.5,-23.381.482,-1048,18.88,0.7,-0.9,,,0,-7000,,0.0,26.7,,3,,,,34.8,,,,8.42,,,En rezago,,,,En rezago,,,En rezago,En rezago,
13047,Pacula,,,,,,,Alto,,,,,,,,,-210.615,0,,,,,0.39,0,-1572,,0.0,100.0,,,,,,,,,,,4.0,,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago,En rezago
