"NOM_MUN","Región","cve_mun","Agencias.de.cobranza.y.comunicaciones","Asociaciones.y.organizaciones.civiles","Comunicaciones.y.transportes.paqueteria","Consultorio.y.otros.servicios.medicos","Cultura.esparcimiento.y.deporte","Educacion.y.otros.sdervicios.educacion","Hospedaje","Servicios.de.belleza.y.funerarios","Servicios.y.mantenimiento.a.automoviles.diversos","Alimentos.y.bebidas","Alquileres.diversos","Banca.y.seguros","Comercio.minorista.diverso","Explotacion.de.animales","Industria.alimentaria.y.de.bebidas","Manufactura.metal.y.herreria","Maquiladoras.y.textileras","Minería.No.Metálicos","Organismos.operadores.de.agua","Servicios.de.publicidad","Tortillerías.y.panificadoras","Construccion","Fabricación.de.muebles","Fabricas.diversas","Industria.del.papel","Fabricación.de.material.de.construcción","Fertilizantes.y.agricultura","Generación..transmision..distribucion.energía.eléctrica","Industria.Química","Petroquimica","Turismo","Fabricación.de.carrocerías..y.equipo.de.transporte.etc","Fabricación.de.maquinaria","Fabricación.de.equipo.electrónico.y.eléctrico","Minería.Metálicos"
"Tepetitlán","Región Tula",64,0.146317249,9.330321404,0.006744929,0.182566271,0.011998931,4.016445588,0.021560894,0.355200443,0.135265775,0.815749005,0.353914038,0.009899522,3.106106685,0.048664853,0.101408628,NA,NA,NA,0.145060508,NA,0.160389989,NA,NA,0.018303382,0.032069395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tetepango","Región Tula",65,1.276769925,6.568908229,0.00235426,0.879120219,0.067010006,3.199189587,0.007525647,1.629170841,1.260334774,3.021500771,0.400239463,0.203097463,18.13494448,NA,0.251703632,0.458109298,0.001642109,NA,0.534802003,0.02331657,2.167431603,NA,0.087651253,0.025554562,0.011193551,0.064234001,NA,NA,0.064079941,NA,NA,NA,NA,NA,NA
"Tezontepec de Aldama","Región Tula",67,3.968819728,8.314364788,0.758671698,2.751875137,4.477580144,9.17084103,0.236833599,6.026879092,7.379341281,14.27855265,1.028213414,0.568112922,94.16673875,3.22739991,1.503808473,1.556424813,0.189371696,NA,0.096762676,0.101231278,16.2613494,0.268795126,0.709444136,0.072378638,NA,0.354969611,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tianguistengo","Región Zacualtipán",68,0.256307204,13.89928102,0.059814668,0.275750598,0.011823073,3.060799246,0.084979577,0.13671663,0.092557847,1.494656906,0.055796324,0.009754433,1.044794446,NA,0.044409942,0.03592339,0.018542693,NA,0.142934481,0.06582265,1.875009359,NA,0.061859847,0.018035125,0.031599382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tizayuca","Región Tizayuca",69,3.825100714,19.54660887,18.37204786,7.72763304,3.546047263,33.65737462,0.218273582,14.98004026,27.57676396,37.42845337,7.665398761,9.230409854,202.0667859,0.00098774,54.91005529,38.63573939,20.73596025,0.001162435,1.85861166,8.249052632,16.5133665,1.472242317,15.65269568,4.069822394,15.23705216,13.44676104,NA,0.628310306,211.231141,NA,0.034644841,13.40186604,22.42650174,39.21124205,NA
"Tlahuelilpan","Región Tula",70,3.012188614,7.840393032,0.667370525,0.651072989,1.18722277,12.8774711,0.378206668,3.080356636,7.094536984,4.829701312,0.962501345,0.024419636,41.18130472,NA,0.210195176,3.559966139,0.000725321,NA,0.184854433,0.01029894,3.56077659,0.093156152,0.241972502,0.692611233,0.177991084,0.028372189,0.610608302,NA,NA,NA,NA,0.004819616,NA,NA,NA
"Tlahuiltepa","Región Zacualtipán",71,0.032220024,17.21894594,NA,0.328182024,0.023780195,0.057655268,0.17092264,0.010999333,0.029786417,0.213778491,NA,NA,0.566548021,NA,NA,NA,NA,NA,1.796809585,0.033097897,0.141275738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tlanalapa","Región Apan",72,0.222402219,1.719966611,0.034459092,0.932710792,0.980819308,1.461993467,0.00819314,0.930070159,0.396612611,1.394788473,0.90913438,0.003761818,13.38125435,NA,0.400100858,0.346348334,5.148940058,0.154761329,0.055122993,0.057115458,0.948271159,27.3452522,0.350556318,NA,0.01218637,NA,NA,NA,NA,NA,NA,0.011879306,NA,3.273657289,NA
"Tlanchinol","Región Huejutla",73,0.269027241,10.99157665,0.765609655,7.852822979,0.064835029,1.880039609,0.11650214,0.607275409,1.067157645,2.923430421,0.281007624,0.083579813,13.50429836,0.14791257,0.136987854,0.603299185,0.001588811,NA,0.306179686,0.122825426,2.529237612,NA,0.190814204,NA,0.010830236,NA,NA,NA,NA,NA,NA,NA,0.032592211,NA,NA
"Tlaxcoapan","Región Tula",74,3.915737752,7.753960141,0.427236874,4.262787485,0.517299217,7.579611556,0.11288437,4.812694898,7.903121485,8.011042648,1.318295083,2.831544907,65.84629186,0.405063203,8.250525126,0.651746551,0.039159071,NA,1.105570785,1.11139041,7.521184537,0.366275009,0.897221366,74.19979076,0.071414216,0.634647821,NA,0.777083395,0.001216343,NA,NA,NA,NA,NA,NA
